FleetId,RegNumber,TankSize,MaxSingleIssueLitres,OverTankIssues
DS292,DS-292,200,5758.0,1113
FEL158,FEL-158,200,2093.0,902
DT54,DT-54,700,4024.0,653
CON968,CON-968,250,688.0,610
BULK270,BULK-270,750,32096.6,515
BULK074,BULK-074,3255,8888.1,434
DT57,DT57,700,4052.0,370
EDT0083,DT83,532,1590.9,326
CDT92,CDT92,532,1047.0,320
DB338,DB-338,500,31114.7,301
CON947,CON-947,532,1638.0,296
CON918,CON-918,532,1051.0,282
CON916,CON-916,532,1081.0,269
CON921,CON-921,532,1018.0,244
CDRS108,CDRS-108,80,763.0,226
