LocationDescription,LitresIssued,Transactions
Nitro+,143157427,112366
Ultra City,76976678,34011
DB-MCCA-126,10338457,20833
DB-338,9926205,17797
DB CSK002,9530540,3250
DB-269,8882472,17526
DB-270,7019568,14259
CON-074,4979814,16415
DB CSK001,3257169,6713
CMND-004,2969846,5326
DB HIBS JV,2967729,16837
CHP-006,2386588,7646
CMND-001,1732413,4047
Stores LDV,1432396,19554
BULK137,1417020,3696
DB-MCCA-100,1098436,2292
DB Kamo Jou,846819,1844
North Concentrator,801752,5577
ST-265,378037,3499
CON-141,234452,598
ST-250,192582,2738
ST-264,27634,8407
ST Epiroc CADS 246,2670,185
ST-263,584,88
