SourceSite,DestSite,SourceLat,SourceLong,DestLat,DestLong,TripCount
Stockpile,PPRN CRUSHER,-23.972261,28.906026,-23.976213,28.907359,66804
Central Pit,EAST SHORT DUMP,-23.962250,28.889182,-23.945179,28.897904,66802
Central Pit,BLINKWATER DUMP,-23.968450,28.891850,-23.962277,28.926249,45910
Central Pit,MALEBATJA A2 RAMP,-23.966342,28.890557,-23.943588,28.894315,37942
Central Pit,MALEBATJA A1,-23.963653,28.889258,-23.943144,28.892949,22443
CUT 10 LOADING,NE TOPSOIL,-23.950181,28.879341,-23.929045,28.891200,21697
Central Pit,BLINKWATER NORTH DUMP,-23.967916,28.890400,-23.953729,28.930891,19544
Central Pit,MALEBATJA B EXT,-23.962725,28.888656,-23.939383,28.894771,18364
Central Pit,BLINKWATER EAST DUMP,-23.968577,28.891741,-23.958127,28.936931,18186
Central Pit,BLINKWATER SOUTH DUMP 2,-23.967913,28.890974,-23.965285,28.934644,18143
Central Pit,MALEBATJA EXTENSION,-23.964262,28.889046,-23.939374,28.894412,16778
CUT 10 LOADING,NORTH WEST DUMP,-23.945284,28.877149,-23.937774,28.873110,14385
North Pit,PPRN CRUSHER,-23.939813,28.881323,-23.974991,28.906440,13474
Central Pit,PPRN CRUSHER,-23.963061,28.892213,-23.975546,28.906694,13138
Central Pit,EAST SHORT DUMP6,-23.964973,28.889237,-23.945569,28.902175,12475
Central Pit,MALEBATJA A4,-23.965085,28.890586,-23.943360,28.898794,12011
Central Pit,SECURITY SHORT DUMP,-23.963597,28.890104,-23.952570,28.898384,11144
Central Pit,EAST SHORT DUMP RAMP,-23.963505,28.889064,-23.948164,28.897511,10863
Central Pit,BLINKWATER SOUTH DUMP,-23.968560,28.890045,-23.963553,28.934264,8840
Central Pit,EAST SHORT NEW,-23.964413,28.890449,-23.944462,28.897279,8667
Central Pit,BUNWALL3,-23.966411,28.890885,-23.961491,28.899407,8328
Central Pit,NEW SECURITY VLG,-23.966116,28.894613,-23.948951,28.893022,7760
Central Pit,MALEBATJA EXT4,-23.964847,28.889771,-23.941894,28.893117,7669
Central Pit,BLINKWATER WEST DUMP,-23.966044,28.889638,-23.955041,28.925946,6874
Central Pit,MALEBATJA SHORT,-23.964417,28.889017,-23.941206,28.891700,6789
Central Pit,P56,-23.963910,28.892635,-23.971905,28.906077,6774
Central Pit,BUNWALL 4,-23.965388,28.891381,-23.954081,28.897448,6168
Stockpile,NORTH WEST TOPSOIL DUMP,-23.952276,28.886395,-23.936605,28.874962,6149
CUT 10 LOADING 2,NORTH WEST DUMP,-23.943307,28.876506,-23.937571,28.872680,5668
North Pit,P50,-23.939849,28.880899,-23.971423,28.907004,5429
Central Pit,P47,-23.963644,28.892661,-23.973728,28.905861,5236
North Pit,P56,-23.940528,28.881284,-23.971444,28.905800,5199
Central Pit,BLINKWATER 1 NORTH 2,-23.967027,28.891144,-23.964594,28.921071,4900
Central Pit,EAST SHORT DUMP2,-23.964817,28.888475,-23.946685,28.900249,4826
Central Pit,MALEBATJA A2,-23.965538,28.889334,-23.944873,28.892675,4737
North Pit,MALEBATJA A1,-23.939688,28.881408,-23.942409,28.892338,4474
Central Pit,MALEBATJA SHORT DUMP,-23.962087,28.889117,-23.939212,28.889779,4412
Central Pit,EAST CENTRAL EXTENTION,-23.962861,28.888870,-23.942814,28.899129,4266
Central Pit,BLINKWATER SHORT  DUMP2,-23.969632,28.894000,-23.965000,28.920262,3687
Central Pit,BLINKWATER ENTRANCE,-23.968289,28.891926,-23.965648,28.924293,3617
