SiteName,Latitude,Longitude,TripCount,EquipmentCount,AvgTripMinutes,TopMaterialType,TopEligibleActivity
Central Pit,-23.965275,28.890536,489787,62,24.6,Waste,Waste-Blast-Dump
Stockpile,-23.969903,28.903698,77686,62,12.0,HGO,HGO-Stockpile-Crusher
North Pit,-23.940337,28.881436,56591,61,32.2,MGO,Waste-Blast-Dump
CUT 10 LOADING,-23.948426,28.878575,44524,62,14.8,Top Soil,Top Soil-Blast-Dump
CUT 10 LOADING 2,-23.942882,28.875763,7046,49,11.7,Waste,Waste-Blast-Dump
CUT 10 LOADING 3,-23.937553,28.875825,3868,46,12.5,Waste,Waste-Blast-Dump
South Pit,-23.979836,28.901429,3283,49,23.0,HGO,Waste-Blast-Dump
CUT9 OVERSPILL,-23.964795,28.889777,2685,55,29.7,Waste,Waste-Blast-Dump
CUT 9 CLEAN-UP,-23.967713,28.890656,2309,58,29.3,Waste,Waste-Blast-Dump
CUT 9 CLEAN UP,-23.963386,28.887978,960,51,22.9,Waste,Waste-Blast-Dump
CUT10 H/ROAD STRIPPING1,-23.934632,28.876596,912,44,15.5,Top Soil,Top Soil-Blast-Dump
BENCH 411 CLEAN UP,-23.967939,28.889241,453,40,20.6,Waste,Waste-Blast-Dump
BENCH 19 CLEAN UP,-23.960299,28.887592,407,43,24.6,Waste,Waste-Blast-Dump
CUT 8 BENCH 44 CLEAN UP,-23.964616,28.890591,379,45,33.9,Waste,Waste-Blast-Dump
CUT 10 CLEAN UP,-23.957973,28.884839,373,52,28.1,Waste,Waste-Blast-Dump
BENCH 26 CLEANUP,-23.967972,28.895149,286,50,29.1,Waste,Waste-Blast-Dump
BENCH 23 CLEAN UP,-23.964107,28.887875,266,44,27.4,Waste,Waste-Blast-Dump
BENCH 38 CLEAN UP,-23.952000,28.885966,240,38,26.6,Waste,Waste-Blast-Dump
CUT 9 B11 CLEAN UP,-23.971136,28.894636,217,38,19.1,Waste,Waste-Blast-Dump
BOS 1 REHANDLE,-23.972250,28.905679,200,21,10.4,LGO,LGO-Stockpile-Crusher
CUT8 OVERSPILL,-23.966684,28.892311,147,40,30.9,Waste,Waste-Blast-Dump
CUT10 H/ROAD STRIPPING,-23.936436,28.875954,137,24,11.2,Waste,Waste-Blast-Dump
B44 FLOOR,-23.962783,28.891328,132,34,30.1,Waste,Waste-Blast-Dump
BENCH33 CLEAN UP,-23.965432,28.889736,118,35,26.6,Waste,Waste-Blast-Dump
CUT 8 CLEAN UP,-23.961287,28.890657,98,32,34.7,Waste,Waste-Blast-Dump
BENCH 14 CLEAN UP,-23.969454,28.890228,94,26,24.8,Waste,Waste-Blast-Dump
BENCH 23A CLEAN UP,-23.961025,28.888926,92,32,30.1,Waste,Waste-Blast-Dump
NORTH  CLEAN UP,-23.938096,28.882239,92,23,33.0,Waste,Waste-Blast-Stockpile
BENCH 40 CLEAN UP,-23.965357,28.892335,89,35,29.1,Waste,Waste-Blast-Dump
BENCH 23 CLEANUP,-23.969561,28.895020,86,35,27.7,Waste,Waste-Blast-Dump
BENCH 41 CLEAN UP,-23.966401,28.894641,80,31,32.1,Waste,Waste-Blast-Dump
BENCH 32 CLEAN UP,-23.960409,28.891774,78,21,24.6,VLGO,VLGO-Blast-Stockpile
BENCH38 CLEAN UP,-23.962752,28.889808,72,28,31.5,Waste,Waste-Blast-Dump
BENCH23 CLEANUP,-23.955712,28.889344,70,29,20.8,VLGO,VLGO-Blast-Stockpile
SOUTH CLEAN UP,-23.974802,28.898899,60,13,38.1,Waste,Waste-Blast-Dump
TOPSOIL CENTRAL SOUTH,-23.970943,28.891015,42,15,17.8,Waste,Waste-Blast-Dump
CUT 9 B11 RAMP,-23.968934,28.891759,40,23,25.8,Waste,Waste-Call Point-Dump
B11 NORTH,-23.958436,28.888708,36,23,23.0,Waste,Waste-Call Point-Dump
CUT 9 B26-01,-23.969949,28.891984,33,23,26.4,Waste,Waste-Call Point-Dump
BENCH 11 CLEAN UP,-23.969567,28.890511,31,18,25.2,Waste,Waste-Blast-Dump
CUT 8 B17-2,-23.956929,28.888348,29,16,27.6,Waste,Waste-Call Point-Dump
SOUTHERN RAMP B17-2,-23.970662,28.890982,24,14,26.7,Waste,Waste-Blast-Dump
BENC 20 CLEAN UP,-23.945527,28.885926,23,17,26.0,Waste,Waste-Blast-Dump
NORTH CLEAN UP,-23.938136,28.883435,22,12,26.6,Waste,Waste-Blast-Dump
CUT 9 B23-2,-23.968490,28.888774,20,16,29.5,Waste,Waste-Call Point-Dump
