YearMonth,Year,FiscalYearSA,LocationDescription,ProductName,EligibilityStatus,LitresIssued,TransactionCount
2009-01,2009,FY2008/09,CHP-006,DIESEL,Eligible - Mining,1175.40,1
2009-01,2009,FY2008/09,ST-265,HYDRAULIC,Ineligible,16.80,12
2014-01,2014,FY2013/14,ST-263,OCA-46SSYN,Ineligible,415.14,15
2014-01,2014,FY2013/14,ST-264,ENGINE,Eligible - Mining,0.29,5
2014-01,2014,FY2013/14,BULK137,DIESEL,Eligible - Mining,27040.00,106
2014-01,2014,FY2013/14,BULK137,DIESEL,Ineligible,16131.00,73
2014-01,2014,FY2013/14,ST-264,DYNATRANS,Ineligible,0.06,1
2014-01,2014,FY2013/14,ST-264,ENGINE,Ineligible,0.11,2
2014-01,2014,FY2013/14,ST-264,TRANSMISSION,Eligible - Mining,124.62,20
2014-01,2014,FY2013/14,ST-264,TRANSMISSION,Ineligible,1.37,7
2014-01,2014,FY2013/14,CON-141,DIESEL,Eligible - Mining,17.00,1
2014-01,2014,FY2013/14,ST-264,HYDRAULIC,Eligible - Mining,0.57,11
2014-01,2014,FY2013/14,ST-264,HYDRAULIC,Ineligible,0.48,7
2014-01,2014,FY2013/14,ST-263,OCA-46SSYN,Eligible - Mining,17.97,15
2014-01,2014,FY2013/14,ST-264,DYNATRANS,Eligible - Mining,0.17,3
2019-03,2019,FY2018/19,DB-269,DIESEL,Eligible - Mining,809.00,2
2019-04,2019,FY2019/20,DB-270,DIESEL,Eligible - Mining,1003.00,2
2019-04,2019,FY2019/20,DB-269,DIESEL,Eligible - Mining,729.00,3
2019-04,2019,FY2019/20,ST-264,HYDRAULIC,Eligible - Mining,0.06,1
2019-04,2019,FY2019/20,ST-264,COOLANT,Eligible - Mining,0.11,2
2019-04,2019,FY2019/20,Nitro+,DIESEL,Eligible - Mining,3224.00,1
2019-04,2019,FY2019/20,ST-264,ENGINE,Eligible - Mining,0.06,1
2019-04,2019,FY2019/20,ST-264,TRANSMISSION,Eligible - Mining,0.23,3
2019-05,2019,FY2019/20,DB-269,DIESEL,Eligible - Mining,14959.00,32
2019-05,2019,FY2019/20,DB-269,DIESEL,Ineligible,11093.00,21
2019-05,2019,FY2019/20,DB-270,DIESEL,Ineligible,14988.00,42
2019-05,2019,FY2019/20,Nitro+,ENGINE,Eligible - Mining,982.00,35
2019-05,2019,FY2019/20,Nitro+,TRANSMISSION,Eligible - Mining,362.00,16
2019-05,2019,FY2019/20,ST-264,HYDRAULIC,Eligible - Mining,0.65,9
2019-05,2019,FY2019/20,CON-074,DIESEL,Ineligible,4483.00,12
2019-05,2019,FY2019/20,DB-MCCA-100,DIESEL,Eligible - Mining,60784.00,135
2019-05,2019,FY2019/20,Nitro+,HYDRAULIC,Ineligible,20.00,1
2019-05,2019,FY2019/20,Nitro+,TRANSMISSION,Ineligible,51.00,2
2019-05,2019,FY2019/20,ST-264,COOLANT,Eligible - Mining,0.34,7
2019-05,2019,FY2019/20,ST-264,HYDRAULIC,Ineligible,0.11,2
2019-05,2019,FY2019/20,ST-264,TRANSMISSION,Eligible - Mining,267.79,32
2019-05,2019,FY2019/20,ST-264,TRANSMISSION,Ineligible,9.45,11
2019-05,2019,FY2019/20,Stores LDV,PETROL,Ineligible,284.72,14
2019-05,2019,FY2019/20,CMND-001,DIESEL,Eligible - Mining,22389.50,53
2019-05,2019,FY2019/20,Nitro+,DIESEL,Eligible - Mining,524449.93,233
2019-05,2019,FY2019/20,Nitro+,DIESEL,Ineligible,527813.97,73
2019-05,2019,FY2019/20,Nitro+,HYDRAULIC,Eligible - Mining,174.00,10
2019-05,2019,FY2019/20,ST-264,DYNATRANS,Eligible - Mining,0.17,4
2019-05,2019,FY2019/20,ST-264,DYNATRANS,Ineligible,0.37,5
2019-05,2019,FY2019/20,ST-264,ENGINE,Eligible - Mining,0.11,2
2019-05,2019,FY2019/20,ST-264,ENGINE,Ineligible,0.09,2
2019-05,2019,FY2019/20,Stores LDV,DIESEL,Eligible - Mining,3107.66,25
2019-05,2019,FY2019/20,CMND-001,DIESEL,Ineligible,55.30,1
2019-05,2019,FY2019/20,CON-074,DIESEL,Eligible - Mining,38144.00,92
2019-05,2019,FY2019/20,CON-141,DIESEL,Eligible - Mining,901.00,1
2019-05,2019,FY2019/20,DB-270,DIESEL,Eligible - Mining,56535.00,114
2019-05,2019,FY2019/20,DB-MCCA-100,DIESEL,Ineligible,2759.00,16
