ClaimYearMonth,UsageTypeName,TotalLitres,NonEligibleLitres,EligibleLitres,QualifyingClaimLitres,RefundRateCentsPerLitre,RefundAmountRand,RateMissingFlag
2009-01,"On Land (Farming, Mining & Forestry)",1175.400,1175.400,0.000,0.000,,,True
2014-01,"On Land (Farming, Mining & Forestry)",43188.000,43188.000,0.000,0.000,,,True
2019-03,"On Land (Farming, Mining & Forestry)",809.000,809.000,0.000,0.000,,,True
2019-04,"On Land (Farming, Mining & Forestry)",4956.000,4553.000,403.000,322.400,333.60,1075.53,False
2019-05,"On Land (Farming, Mining & Forestry)",1350836.100,1316278.200,34557.900,27646.320,333.60,92228.12,False
2019-06,"On Land (Farming, Mining & Forestry)",5292099.590,2299149.239,2992950.351,2394360.281,333.60,7987585.90,False
2019-07,"On Land (Farming, Mining & Forestry)",5760938.730,2353420.490,3407518.240,2726014.592,333.60,9093984.68,False
2019-08,"On Land (Farming, Mining & Forestry)",5999657.940,2403636.570,3596021.370,2876817.096,333.60,9597061.83,False
2019-09,"On Land (Farming, Mining & Forestry)",5925108.870,2440260.740,3484848.130,2787878.504,333.60,9300362.69,False
2019-10,"On Land (Farming, Mining & Forestry)",5715218.710,2318181.710,3397037.000,2717629.600,333.60,9066012.35,False
2019-11,"On Land (Farming, Mining & Forestry)",5138589.420,1830775.680,3307813.740,2646250.992,333.60,8827893.31,False
2019-12,"On Land (Farming, Mining & Forestry)",5235727.700,1967501.600,3268226.100,2614580.880,333.60,8722241.82,False
2020-01,"On Land (Farming, Mining & Forestry)",5093828.840,1932980.670,3160848.170,2528678.536,333.60,8435671.60,False
2020-02,"On Land (Farming, Mining & Forestry)",4798824.950,1893098.051,2905726.899,2324581.519,333.60,7754803.95,False
2020-03,"On Land (Farming, Mining & Forestry)",4617355.830,1479193.700,3138162.130,2510529.704,333.60,8375127.09,False
2020-04,"On Land (Farming, Mining & Forestry)",2919323.450,697724.600,2221598.850,1777279.080,349.00,6202703.99,False
2020-05,"On Land (Farming, Mining & Forestry)",4963896.069,1438292.229,3525603.840,2820483.072,349.00,9843485.92,False
2020-06,"On Land (Farming, Mining & Forestry)",5599439.330,1762927.240,3836512.090,3069209.672,349.00,10711541.76,False
2020-07,"On Land (Farming, Mining & Forestry)",6110375.980,1836782.550,4273593.430,3418874.744,349.00,11931872.86,False
2020-08,"On Land (Farming, Mining & Forestry)",6147242.990,1737592.550,4409650.440,3527720.352,349.00,12311744.03,False
2020-09,"On Land (Farming, Mining & Forestry)",6140865.550,1821269.950,4319595.600,3455676.480,349.00,12060310.92,False
2020-10,"On Land (Farming, Mining & Forestry)",6341168.590,1924324.190,4416844.400,3533475.520,349.00,12331829.56,False
2020-11,"On Land (Farming, Mining & Forestry)",4591544.029,1505602.629,3085941.400,2468753.120,349.00,8615948.39,False
2020-12,"On Land (Farming, Mining & Forestry)",5487117.380,1690588.380,3796529.000,3037223.200,349.00,10599908.97,False
2021-01,"On Land (Farming, Mining & Forestry)",5642588.099,1637978.799,4004609.300,3203687.440,349.00,11180869.17,False
2021-02,"On Land (Farming, Mining & Forestry)",5265599.810,1414562.810,3851037.000,3080829.600,349.00,10752095.30,False
2021-03,"On Land (Farming, Mining & Forestry)",6562342.340,1952108.430,4610233.910,3688187.128,349.00,12871773.08,False
2021-04,"On Land (Farming, Mining & Forestry)",5716651.677,1821156.677,3895495.000,3116396.000,349.00,10876222.04,False
2021-05,"On Land (Farming, Mining & Forestry)",6159275.639,1897963.549,4261312.090,3409049.672,349.00,11897583.36,False
2021-06,"On Land (Farming, Mining & Forestry)",5698086.528,1874780.228,3823306.300,3058645.040,349.00,10674671.19,False
2021-07,"On Land (Farming, Mining & Forestry)",6556705.898,1954946.048,4601759.850,3681407.880,349.00,12848113.50,False
2021-08,"On Land (Farming, Mining & Forestry)",5974983.643,2136366.263,3838617.380,3070893.904,349.00,10717419.72,False
2021-09,"On Land (Farming, Mining & Forestry)",5982077.046,2471924.046,3510153.000,2808122.400,349.00,9800347.18,False
2021-10,"On Land (Farming, Mining & Forestry)",6455775.736,2405817.736,4049958.000,3239966.400,349.00,11307482.74,False
2021-11,"On Land (Farming, Mining & Forestry)",5604739.647,2285869.647,3318870.000,2655096.000,349.00,9266285.04,False
2021-12,"On Land (Farming, Mining & Forestry)",5922270.001,2197314.601,3724955.400,2979964.320,349.00,10400075.48,False
2022-01,"On Land (Farming, Mining & Forestry)",5972873.963,2297766.564,3675107.399,2940085.919,349.00,10260899.86,False
2022-02,"On Land (Farming, Mining & Forestry)",5612826.389,2345326.589,3267499.800,2613999.840,349.00,9122859.44,False
2022-03,"On Land (Farming, Mining & Forestry)",6272003.077,3143907.377,3128095.700,2502476.560,349.00,8733643.19,False
2022-04,"On Land (Farming, Mining & Forestry)",6193891.099,2914930.199,3278960.900,2623168.720,349.00,9154858.83,False
2022-05,"On Land (Farming, Mining & Forestry)",6778019.124,3279960.524,3498058.600,2798446.880,349.00,9766579.61,False
2022-06,"On Land (Farming, Mining & Forestry)",6344587.765,3212236.065,3132351.700,2505881.360,349.00,8745525.95,False
2022-07,"On Land (Farming, Mining & Forestry)",6473722.303,3384941.503,3088780.800,2471024.640,349.00,8623875.99,False
2022-08,"On Land (Farming, Mining & Forestry)",13224055.581,10952679.881,2271375.700,1817100.560,349.00,6341680.95,False
