LocationDescription,YearMonth,DeliveredLitres,IssuedLitres,NetLitres
BULK137,2019-11,,60470,-60470
CHP-006,2019-11,,124868,-124868
CMND-001,2019-11,,7303,-7303
CON-074,2019-11,,200829,-200829
DB-269,2019-11,,374385,-374385
DB-270,2019-11,,446974,-446974
DB-338,2019-11,,8506,-8506
DB-MCCA-126,2019-11,,487468,-487468
Nitro+,2019-11,79016,2949414,-2870398
North Concentrator,2019-11,,14740,-14740
ST-264,2019-11,,792,-792
Stores LDV,2019-11,,42299,-42299
Ultra City,2019-11,,1834962,-1834962
BULK137,2019-12,,45168,-45168
CHP-006,2019-12,,115073,-115073
CMND-001,2019-12,,159110,-159110
CON-074,2019-12,,130805,-130805
DB-269,2019-12,,295706,-295706
DB-270,2019-12,,481417,-481417
DB-338,2019-12,,98641,-98641
DB-MCCA-126,2019-12,,112166,-112166
Nitro+,2019-12,2837359,2814295,23065
North Concentrator,2019-12,,16003,-16003
ST-264,2019-12,,2114,-2114
Stores LDV,2019-12,,41272,-41272
Ultra City,2019-12,268809,1979249,-1710440
BULK137,2020-01,,60027,-60027
CHP-006,2020-01,,116696,-116696
CMND-001,2020-01,,237356,-237356
CON-074,2020-01,,132651,-132651
DB HIBS JV,2020-01,,27390,-27390
DB-269,2020-01,,314948,-314948
DB-270,2020-01,,392940,-392940
DB-338,2020-01,,40392,-40392
DB-MCCA-126,2020-01,,195994,-195994
Nitro+,2020-01,2881160,2774240,106921
North Concentrator,2020-01,,13497,-13497
ST-264,2020-01,,1345,-1345
Stores LDV,2020-01,,49772,-49772
Ultra City,2020-01,,1870794,-1870794
BULK137,2020-02,,10211,-10211
CHP-006,2020-02,,84203,-84203
CMND-001,2020-02,,214741,-214741
CON-074,2020-02,,186316,-186316
DB HIBS JV,2020-02,,59486,-59486
DB-269,2020-02,,192297,-192297
DB-270,2020-02,,438308,-438308
DB-338,2020-02,,199801,-199801
DB-MCCA-126,2020-02,,282995,-282995
Nitro+,2020-02,3228940,2544761,684178
North Concentrator,2020-02,,15066,-15066
ST-264,2020-02,,1007,-1007
Stores LDV,2020-02,,39945,-39945
Ultra City,2020-02,1293356,1950318,-656962
BULK137,2020-03,,13243,-13243
CHP-006,2020-03,,65460,-65460
CMND-001,2020-03,,63445,-63445
CON-074,2020-03,,180505,-180505
DB HIBS JV,2020-03,,55785,-55785
DB-269,2020-03,,280054,-280054
DB-270,2020-03,,240199,-240199
DB-338,2020-03,,361706,-361706
DB-MCCA-126,2020-03,,277365,-277365
Nitro+,2020-03,2954492,2795848,158644
North Concentrator,2020-03,,15914,-15914
ST-263,2020-03,,128,-128
ST-264,2020-03,,1093,-1093
ST-265,2020-03,,190,-190
Stores LDV,2020-03,,37500,-37500
Ultra City,2020-03,1287216,1742748,-455532
BULK137,2020-04,,14861,-14861
CMND-001,2020-04,,103728,-103728
CON-074,2020-04,,101882,-101882
DB HIBS JV,2020-04,,19007,-19007
DB-269,2020-04,,297827,-297827
DB-270,2020-04,,77886,-77886
DB-338,2020-04,,145756,-145756
Nitro+,2020-04,2135684,1922643,213041
North Concentrator,2020-04,,8443,-8443
ST-264,2020-04,,943,-943
ST-265,2020-04,,62,-62
Stores LDV,2020-04,,17847,-17847
Ultra City,2020-04,436803,878480,-441677
BULK137,2020-05,,36047,-36047
CHP-006,2020-05,,102008,-102008
CMND-001,2020-05,,36719,-36719
CON-074,2020-05,,118934,-118934
DB HIBS JV,2020-05,,72115,-72115
DB-269,2020-05,,314103,-314103
DB-270,2020-05,,124574,-124574
DB-338,2020-05,,420262,-420262
DB-MCCA-126,2020-05,,105233,-105233
Nitro+,2020-05,1730831,3173622,-1442791
North Concentrator,2020-05,,9502,-9502
ST-264,2020-05,,824,-824
ST-265,2020-05,,9535,-9535
Stores LDV,2020-05,,25271,-25271
Ultra City,2020-05,,1889258,-1889258
BULK137,2020-06,,55244,-55244
CHP-006,2020-06,,91416,-91416
CON-074,2020-06,,190110,-190110
DB HIBS JV,2020-06,,46621,-46621
DB-269,2020-06,,247897,-247897
DB-270,2020-06,,121114,-121114
DB-338,2020-06,,63361,-63361
DB-MCCA-126,2020-06,,398473,-398473
Nitro+,2020-06,,3780541,-3780541
North Concentrator,2020-06,,49691,-49691
ST Epiroc CADS 246,2020-06,,312,-312
ST-264,2020-06,,590,-590
ST-265,2020-06,,12601,-12601
Stores LDV,2020-06,,22045,-22045
Ultra City,2020-06,,2273827,-2273827
BULK137,2020-07,,38076,-38076
CHP-006,2020-07,,30812,-30812
CON-074,2020-07,,195868,-195868
DB HIBS JV,2020-07,,56409,-56409
DB-269,2020-07,,371266,-371266
DB-270,2020-07,,186553,-186553
DB-338,2020-07,,37555,-37555
DB-MCCA-126,2020-07,,430019,-430019
Nitro+,2020-07,,4117727,-4117727
North Concentrator,2020-07,,32311,-32311
ST Epiroc CADS 246,2020-07,,1748,-1748
ST-264,2020-07,,673,-673
ST-265,2020-07,,20009,-20009
Stores LDV,2020-07,,30890,-30890
Ultra City,2020-07,,2328610,-2328610
BULK137,2020-08,,44788,-44788
CHP-006,2020-08,,68396,-68396
CON-074,2020-08,,145904,-145904
DB HIBS JV,2020-08,,84557,-84557
DB-269,2020-08,,284035,-284035
DB-270,2020-08,,138287,-138287
DB-338,2020-08,,299664,-299664
DB-MCCA-126,2020-08,,354633,-354633
Nitro+,2020-08,,4266900,-4266900
North Concentrator,2020-08,,28381,-28381
ST Epiroc CADS 246,2020-08,,512,-512
ST-264,2020-08,,1613,-1613
ST-265,2020-08,,23705,-23705
Stores LDV,2020-08,,35572,-35572
Ultra City,2020-08,,2187162,-2187162
BULK137,2020-09,,53171,-53171
CHP-006,2020-09,,104843,-104843
CON-074,2020-09,,156277,-156277
DB HIBS JV,2020-09,,75607,-75607
DB-269,2020-09,,19017,-19017
DB-270,2020-09,,420627,-420627
DB-338,2020-09,,553122,-553122
DB-MCCA-126,2020-09,,397675,-397675
Nitro+,2020-09,,3955458,-3955458
North Concentrator,2020-09,,37942,-37942
ST Epiroc CADS 246,2020-09,,97,-97
ST-264,2020-09,,1560,-1560
ST-265,2020-09,,25299,-25299
Stores LDV,2020-09,,33381,-33381
Ultra City,2020-09,,2315633,-2315633
BULK137,2020-10,,55374,-55374
CHP-006,2020-10,,77799,-77799
CON-074,2020-10,,167704,-167704
DB HIBS JV,2020-10,,71417,-71417
DB-269,2020-10,,117884,-117884
DB-270,2020-10,,174590,-174590
DB-338,2020-10,,563998,-563998
DB-MCCA-126,2020-10,,355505,-355505
Nitro+,2020-10,2772216,4218476,-1446260
North Concentrator,2020-10,,24942,-24942
ST-264,2020-10,,1112,-1112
ST-265,2020-10,,35886,-35886
Stores LDV,2020-10,,39529,-39529
Ultra City,2020-10,1206395,2308303,-1101908
BULK137,2020-11,,58220,-58220
CHP-006,2020-11,,88609,-88609
CON-074,2020-11,,115183,-115183
DB HIBS JV,2020-11,,30489,-30489
DB-269,2020-11,,221262,-221262
DB-270,2020-11,,142345,-142345
DB-338,2020-11,,43401,-43401
DB-MCCA-126,2020-11,,376892,-376892
Nitro+,2020-11,3091126,3173484,-82358
North Concentrator,2020-11,,19409,-19409
