FleetId,RegNumber,MakeName,ModelName,VehicleTypeName,ConsumptionTypeName,EligibilityClass,TotalLitres,Transactions
BULK269,BULK-269,TEREX,DIESEL BOWSER,Bowser,L/HR,Eligible,8651157,822
CON685,CON685,CATERPILLAR,DOZER,Mining,L/HR,Eligible,8192021,803
DB338BLK,DB338BLK,BULK DIESEL TANK,BULK TANK,Bowser,None,Ineligible,7208231,633
BULK270,BULK-270,CATERPILLAR,DIESEL BOWSER,Bowser,L/HR,Eligible,6978366,651
CON506BK,CON506BK,BULK TANK,BULK TANK,Bowser,L/HR,Eligible,5705687,1015
MCCA126,BULKA126,VOLVO,ARTICULATED DUMP TRUCK,Bowser,L/HR,Eligible,4919551,832
CMD04BLK,CMD04BLK,BULK TANK,BULK TANK,Bowser,None,Ineligible,4830614,1147
DB338,DB-338,Diesel Bowser,OWN TANK,Mining,KM/L,Ineligible,3881180,477
BULK074,BULK-074,Diesel Bowser,DIESEL BOWSER,Bowser,L/HR,Eligible,3610023,814
DT59,DT-59,KOMATSU,DUMP TRUCK,Mining,L/HR,Eligible,3497903,1346
DT58,DT58,KOMATSU,DUMP TRUCK,Dump Truck,L/HR,Eligible,3451982,1364
DT67,DT67,KOMATSU,DUMP TRUCK,Mining,L/HR,Eligible,3381176,1527
DT79,DT79,KOMATSU,DUMP TRUCK,Mining,L/HR,Eligible,3375278,1374
DT80,DT80,KOMATSU,DUMP TRUCK,Mining,L/HR,Eligible,3368344,1379
DT47,DT47,KOMATSU,DUMP TRUCK,Mining,L/HR,Eligible,3331167,1283
DT71,DT71,KOMATSU,DUMP TRUCK,Mining,L/HR,Eligible,3281839,1449
DT72,DT72,KOMATSU,DUMP TRUCK,Mining,L/HR,Eligible,3266948,1311
DT77,DT77,KOMATSU,DUMP TRUCK,Mining,L/HR,Eligible,3262505,1409
DT48,DT48,KOMATSU,DUMP TRUCK,Mining,L/HR,Eligible,3235924,1237
DT60,DT60,KOMATSU,DUMP TRUCK,Mining,L/HR,Eligible,3233732,1419
DT61,DT61,KOMATSU,DUMP TRUCK,Mining,L/HR,Eligible,3228281,1476
DT69,DT69,KOMATSU,DUMP TRUCK,Mining,L/HR,Eligible,3205834,1555
DT64,DT64,KOMATSU,DUMP TRUCK,Mining,L/HR,Eligible,3205241,1485
DT73,DT73,KOMATSU,DUMP TRUCK,Mining,L/HR,Eligible,3178938,1358
DT75,DT75,KOMATSU,DUMP TRUCK,Mining,L/HR,Eligible,3136092,1405
