YearMonth,Trips,TripHours
2019-11,781,197
2019-12,22756,6188
2020-01,21533,5724
2020-02,23174,4977
2020-03,21789,5174
2020-04,14127,3550
2020-05,21964,6879
2020-06,27761,8750
2020-07,27886,9667
2020-08,27250,8695
2020-09,26017,7915
2020-10,25418,7916
2020-11,19190,6857
2020-12,23542,9310
2021-01,27150,11042
2021-02,23646,9929
2021-03,27319,11479
2021-04,26477,9812
2021-05,31914,11364
2021-06,28746,10276
2021-07,29048,9808
2021-08,21757,8616
2021-09,20052,8352
2021-10,21515,8387
2021-11,18775,7456
2021-12,21402,9029
2022-01,19129,8605
2022-02,18995,8046
2022-03,22374,9354
2022-04,20776,8177
2022-05,25039,10806
2022-06,25860,10503
2022-07,25966,10424
2022-08,19126,7778
