DateKey	FullDate	Year	Quarter	MonthNumber	MonthName	YearMonth	DayOfMonth	DayName	IsWeekend	FiscalYearSA	SeasonSouthernAfrica
20090101	2009-01-01	2009	1	1	January	2009-01	1	Thursday	0	FY2008/09	Summer
20090102	2009-01-02	2009	1	1	January	2009-01	2	Friday	0	FY2008/09	Summer
20090103	2009-01-03	2009	1	1	January	2009-01	3	Saturday	1	FY2008/09	Summer
20090104	2009-01-04	2009	1	1	January	2009-01	4	Sunday	1	FY2008/09	Summer
20090105	2009-01-05	2009	1	1	January	2009-01	5	Monday	0	FY2008/09	Summer
20090106	2009-01-06	2009	1	1	January	2009-01	6	Tuesday	0	FY2008/09	Summer
20090107	2009-01-07	2009	1	1	January	2009-01	7	Wednesday	0	FY2008/09	Summer
20090108	2009-01-08	2009	1	1	January	2009-01	8	Thursday	0	FY2008/09	Summer
20090109	2009-01-09	2009	1	1	January	2009-01	9	Friday	0	FY2008/09	Summer
20090110	2009-01-10	2009	1	1	January	2009-01	10	Saturday	1	FY2008/09	Summer
20090111	2009-01-11	2009	1	1	January	2009-01	11	Sunday	1	FY2008/09	Summer
20090112	2009-01-12	2009	1	1	January	2009-01	12	Monday	0	FY2008/09	Summer
20090113	2009-01-13	2009	1	1	January	2009-01	13	Tuesday	0	FY2008/09	Summer
20090114	2009-01-14	2009	1	1	January	2009-01	14	Wednesday	0	FY2008/09	Summer
20090115	2009-01-15	2009	1	1	January	2009-01	15	Thursday	0	FY2008/09	Summer
20090116	2009-01-16	2009	1	1	January	2009-01	16	Friday	0	FY2008/09	Summer
20090117	2009-01-17	2009	1	1	January	2009-01	17	Saturday	1	FY2008/09	Summer
20090118	2009-01-18	2009	1	1	January	2009-01	18	Sunday	1	FY2008/09	Summer
20090119	2009-01-19	2009	1	1	January	2009-01	19	Monday	0	FY2008/09	Summer
20090120	2009-01-20	2009	1	1	January	2009-01	20	Tuesday	0	FY2008/09	Summer
20090121	2009-01-21	2009	1	1	January	2009-01	21	Wednesday	0	FY2008/09	Summer
20090122	2009-01-22	2009	1	1	January	2009-01	22	Thursday	0	FY2008/09	Summer
20090123	2009-01-23	2009	1	1	January	2009-01	23	Friday	0	FY2008/09	Summer
20090124	2009-01-24	2009	1	1	January	2009-01	24	Saturday	1	FY2008/09	Summer
20090125	2009-01-25	2009	1	1	January	2009-01	25	Sunday	1	FY2008/09	Summer
20090126	2009-01-26	2009	1	1	January	2009-01	26	Monday	0	FY2008/09	Summer
20090127	2009-01-27	2009	1	1	January	2009-01	27	Tuesday	0	FY2008/09	Summer
20090128	2009-01-28	2009	1	1	January	2009-01	28	Wednesday	0	FY2008/09	Summer
20090129	2009-01-29	2009	1	1	January	2009-01	29	Thursday	0	FY2008/09	Summer
20090130	2009-01-30	2009	1	1	January	2009-01	30	Friday	0	FY2008/09	Summer
20090131	2009-01-31	2009	1	1	January	2009-01	31	Saturday	1	FY2008/09	Summer
