EquipmentKey	SourceEquipmentId	AFSEquipmentId	FleetId	RegNumber	EquipmentDescription	MakeName	ModelName	VehicleTypeName	IsEligibleVehicleType	ConsumptionTypeName	TankSize	DecommissionDate	IsActive	EligibleActivityKey	EligibilityClass
1	1	164843	AFSTEST	AFSTEST		TESTING	NONE	Mining	0	None	99999.0		1	99	Ineligible
2	2	164621	BN33HJGP	CAE-009		TOYOTA	HILUX SC	Mining	0	KM/L	80.0		1	99	Ineligible
3	3	164879	BNT899L	BNT899L	MAHINDRA SCORPIO DC P/UP BNT899L - S630	MAHINDRA	SCORPIO	Mining	0	KM/L	80.0		1	99	Ineligible
4	4	177779	BTD005	BTD-005	BELAZ DUMP TRUCK BDT005	BELAZ	DUMP TRUCK	Mining	0	L/HR	5000.0		1	10	Eligible
5	5	164579	BULK269	BULK-269		TEREX	DIESEL BOWSER	Bowser	0	L/HR	34000.0		1	10	Eligible
6	6	166148	CAC008	CAC-008		ISUZU	DROPSIDE	Mining	0	KM/L	7700.0		1	99	Ineligible
7	7	177817	CAW001	CAW-001		TOYOTA	HILUX SC	Mining	0	KM/L	80.0		1	99	Ineligible
8	8	213337	CAZ132	CAZ-132		MAGNI	TELEHANDLER	Mining	0	L/HR	250.0		1	10	Eligible
9	9	189860	CBG002	CBG-002		ATLAS COPCO	DRILL RIG	Drill Rig	0	L/HR	700.0		1	10	Eligible
10	10	177845	CBME171	CBME-171		MAN	TGS TRUCK	Mining	0	L/HR	480.0		1	10	Eligible
11	11	177848	CBME637	CBME-637		TOYOTA	HILUX SC	Mining	0	KM/L	80.0		1	99	Ineligible
12	12	209974	CBME707	CBME-707		TOYOTA	HILUX 	Light Vehicle	0	KM/L	80.0		1	99	Ineligible
13	13	205291	CBMEB42	CBME-B42		TOYOTA	QUANTUM	Mining	0	KM/L	70.0		1	99	Ineligible
14	14	164599	CDT079	CDT-079		CATERPILLAR	OFF-HIGHWAY TRUCK	Mining	0	L/HR	1136.0		1	10	Eligible
15	15	165059	CFA016	CFA016		CATERPILLAR	EXCAVATOR	Mining	0	L/HR	1500.0		1	10	Eligible
16	16	230597	CHIBS002	CHIBS002		TOYOTA	HILUX 	Light Vehicle	0	KM/L	80.0		1	99	Ineligible
17	17	177917	CHIBS29	CHIBS-29		KOMATSU	EXCAVATOR	Mining	0	L/HR	450.0		1	10	Eligible
18	18	164605	CHM004	CHM004		IVECO	DAILY	Mining	0	KM/L	100.0		1	99	Ineligible
19	19	213346	CHP006	CHP-006		Diesel Bowser	OWN TANK	Bowser	0	KM/L	300.0		1	99	Ineligible
20	20	164964	CJZ673L	CJZ673L		TOYOTA	HILUX SC	Mining	0	KM/L	80.0		1	99	Ineligible
21	21	164820	CMAL004	CMAL-004		KOMATSU	EXCAVATOR	Mining	0	L/HR	1500.0		1	10	Eligible
22	22	189844	CMHDT01	CMHDT-01		CATERPILLAR	OFF-HIGHWAY TRUCK	Mining	0	L/HR	532.0		1	10	Eligible
23	23	217305	CMTT002	CMTT-002		TOYOTA	QUANTUM	Light Vehicle	0	KM/L	70.0		1	99	Ineligible
24	24	164773	CON074BT	CON074BT		BELL	DIESEL BOWSER	Bowser	0	L/HR	1000.0		1	10	Eligible
25	25	164496	CON093	CON093		CATERPILLAR	OFF-HIGHWAY TRUCK	Mining	0	L/HR	532.0		1	10	Eligible
26	26	189848	CON106	CON-106		KOMATSU	DOZER	Mining	0	L/HR	1050.0		1	10	Eligible
27	27	177995	CON118	CON-118		MERCEDEZ-BENZ	ACTROS	Mining	0	L/HR	500.0		1	10	Eligible
28	28	166010	CON155	CON155		KOMATSU	DUMP TRUCK	Mining	0	L/HR	1050.0		1	10	Eligible
29	29	213316	CON227	CON227		KOMATSU	DOZER	Mining	0	L/HR	1200.0		1	10	Eligible
30	30	177999	CON2504	CON-2504		TOYOTA	HILUX SC	Mining	0	KM/L	80.0		1	99	Ineligible
31	31	230743	CON2551	CON2551		LIGHTING PLANT	LIGHTING PLANT	Lighting Plant	0	None	200.0		1	99	Ineligible
32	33	213292	CON2558	CON2558		LIGHTING PLANT	LIGHTING PLANT	Support/Maintenance Equip.	0	None	200.0		1	99	Ineligible
33	34	164751	CON2559	CON-2559		CATERPILLAR	BACKHOE LOADER	Mining	0	L/HR	160.0		1	10	Eligible
34	35	164715	CON504	CON-504		CATERPILLAR	OFF-HIGHWAY TRUCK	Mining	0	L/HR	532.0		1	10	Eligible
35	36	205332	CON5985	CON-5985		TOYOTA	HILUX 	Light Vehicle	0	KM/L	80.0		1	99	Ineligible
36	37	213302	CON932	CON-932		KOMATSU	DUMP TRUCK	Mining	0	L/HR	700.0		1	10	Eligible
37	38	205326	CON960	CON-960		KOMATSU	DUMP TRUCK	Mining	0	L/HR	1000.0		1	10	Eligible
38	39	213310	CON972	CON972		KOMATSU	DUMP TRUCK	Mining	0	L/HR	1308.0		1	10	Eligible
39	40	205327	CON973	CON-973		KOMATSU	DUMP TRUCK	Mining	0	L/HR	1000.0		1	10	Eligible
40	41	217330	CPD008	CPD-008		COMPRESSOR	COMPRESSOR	Compressor	0	None	1300.0		1	99	Ineligible
41	42	164745	CPG621L	M0G-866		TOYOTA	HILUX 	Mining	0	KM/L	80.0		1	99	Ineligible
42	43	213332	CSF016	CSF-016		CATERPILLAR	BACKHOE LOADER	Mining	0	L/HR	2900.0		1	10	Eligible
43	44	165478	CTX543L	CTX543L		TOYOTA	HILUX 	Mining	0	L/100KM	160.0		1	99	Ineligible
44	45	164545	CXG956L	MOG-888	TOYOTA LAND CRUISER 70 PU   -0888	TOYOTA	HILUX SC	Mining	0	KM/L	80.0		1	99	Ineligible
45	46	164614	CYD371L	CYD371L	TOYOTA QUANTUM  D-4D 14SBUS-CYD371L-1368	TOYOTA	HILUX 	Mining	0	KM/L	80.0		1	99	Ineligible
46	47	164896	DR284	DR-284	ATLAS COPCO D65/HP DRILL RIG - 284	ATLAS COPCO	DRILL RIG	Mining	0	L/HR	5100.0		1	10	Eligible
47	48	165150	DR330	DR-330		SANDVIK	DRILL RIG	Mining	0	L/HR	680.0		1	10	Eligible
48	49	213349	DRL295	DRL-295		DRILL	RIG	Drill Rig	0	L/HR	1750.0		1	10	Eligible
49	50	164501	DT48	DT48	KOMATSU 930E DUMP TRUCK 48	KOMATSU	DUMP TRUCK	Mining	0	L/HR	4950.0		1	10	Eligible
50	51	189849	DT52	DT-52	KOMATSU 930E DUMP TRUCK 52	KOMATSU	DUMP TRUCK	Mining	0	L/HR	4550.0		1	10	Eligible
51	52	164531	DT65	DT65	KOMATSU 930E DUMP TRUCK 65	KOMATSU	DUMP TRUCK	Mining	0	L/HR	4950.0		1	10	Eligible
52	53	164529	DT66	DT66	KOMATSU 930E DUMP TRUCK 66	KOMATSU	DUMP TRUCK	Mining	0	L/HR	4950.0		1	10	Eligible
53	54	164659	DT73	DT73	KOMATSU 930E DUMP TRUCK 73	KOMATSU	DUMP TRUCK	Mining	0	L/HR	4950.0		1	10	Eligible
54	55	164656	EDT0032	DT32	TEREX 4400 DUMP TRUCK 32	TEREX	REAR DUMPER	Mining	0	L/HR	4950.0		1	10	Eligible
55	56	164861	EGR0204	GR-204	CAT 16H GRADER 204	CATERPILLAR	MOTOR GRADER	Mining	0	L/HR	492.0		1	10	Eligible
56	57	164682	EGR0206	GR-206	CAT 16H GRADER 206	CATERPILLAR	MOTOR GRADER	Mining	0	L/HR	492.0		1	10	Eligible
57	58	164738	EWT0332	WT-332	CAT 777F WATERCART 332	CATERPILLAR	OFF-HIGHWAY TRUCK	Mining	0	L/HR	532.0		1	10	Eligible
58	59	164804	EX228	EX-228	CAT M322D EXCAVATOR 228	CATERPILLAR	EXCAVATOR	Mining	0	L/HR	1500.0		1	10	Eligible
59	60	164918	FEL002	FEL-002		CATERPILLAR	WHEEL LOADER	Mining	0	L/HR	200.0		1	10	Eligible
60	61	165033	FEL03	FEL-03		CATERPILLAR	WHEEL LOADER	Mining	0	L/HR	200.0		1	10	Eligible
61	62	164771	FEL1551	FEL-1551		CATERPILLAR	WHEEL LOADER	Mining	0	L/HR	1562.0		1	10	Eligible
62	63	164741	G551	G-551		TEREX	MANLIFTER	Mining	0	L/HR	80.0		1	10	Eligible
63	64	189857	GR211	GR-211		CATERPILLAR	MOTOR GRADER	Mining	0	L/HR	910.0		1	10	Eligible
64	65	164862	HA509	HA-509		TOYOTA	DYNA	Mining	0	L/HR	200.0		1	10	Eligible
65	66	189880	HIBS032	HIBS-032		TOWER LIGHT	LIGHTING PLANT	Support/Maintenance Equip.	0	L/HR	120.0		1	10	Eligible
66	67	164893	LB333	LB-333	CATERPILLAR 785B LOW BED 333	CATERPILLAR	OFF-HIGHWAY TRUCK	Mining	0	L/HR	532.0		1	10	Eligible
67	68	165193	LDVWS	LDV-WS		DUMMY NOZZLE	LUBES AT LDV W/SHOP	Mining	0	None	100.0		1	99	Ineligible
68	69	165202	LP830	LP-830	JANMAR LIGHTING PLANT 6.84KW - 830	LIGHTING PLANT	LIGHTING PLANT	Mining	0	None	200.0		1	99	Ineligible
69	70	165438	LP832	LP-832		SKVA	LIGHTING PLANT	Mining	0	L/HR	600.0		1	10	Eligible
70	71	164760	MCD031	MCD031		CATERPILLAR	DOZER	Mining	0	L/HR	1446.0		1	10	Eligible
71	72	164982	MNC222	MNC222		TOYOTA	HILUX 	Mining	0	L/100KM	160.0		1	99	Ineligible
72	73	164895	MNC223	MNC223		TOYOTA	HILUX 	Mining	0	KM/L	160.0		1	99	Ineligible
73	74	164950	MNC225	MNC225		TOYOTA	HILUX 	Mining	0	KM/L	80.0		1	99	Ineligible
74	75	217311	MOG1218	MOG1218		HYSTER	FORKLIFT	Mining	0	L/HR	80.0		1	10	Eligible
75	76	178097	MOG1246	MOG1246		DEUTZ	WATER PUMP	Mining	0	L/HR	1000.0		1	10	Eligible
76	77	178105	MOG1335	MOG-1335	TOYOTA HILUX 2.5 D-4D S/C CYD416L-1335	TOYOTA	HILUX SC	Mining	0	KM/L	80.0		1	99	Ineligible
77	78	164900	MOG1381	MOG-1381		TOYOTA	HILUX 	Mining	0	L/100KM	80.0		1	99	Ineligible
78	79	165074	MOG1396	MOG-1396	TOYOTA LANDCRUISER70 4.2D/C DHV347L-1396	TOYOTA	LAND CRUISER	Mining	0	KM/L	150.0		1	99	Ineligible
79	80	165113	MOG1402	MOG-1402	TOYOTA LANDCRUISER70 4.2D/C DHV347L-1402	TOYOTA	LAND CRUISER	Mining	0	KM/L	150.0		1	99	Ineligible
80	81	164655	MOG1406	MOG-1406		TOYOTA	LAND CRUISER	Mining	0	KM/L	130.0		1	99	Ineligible
81	82	164654	MOG1411	MOG-1411	TOYOTA LANDCRUISER70 4.2D/C DHV347L-1411	TOYOTA	LAND CRUISER	Mining	0	KM/L	150.0		1	99	Ineligible
82	83	165115	MOG1446	MOG-1446	TOYOTA HILUX DC2.8 RAIDER X15 1446	TOYOTA	HILUX 	Mining	0	KM/L	80.0		1	99	Ineligible
83	84	165251	MOG1456	MOG-1456	TOYOTA HILUX DC PICK UP BJ30GWGP 1456	TOYOTA	HILUX 	Mining	0	L/100KM	80.0		1	99	Ineligible
84	85	213352	MOG1481	MOG-1481		TOYOTA	QUANTUM	Light Vehicle	0	KM/L	70.0		1	99	Ineligible
85	86	164973	MOG649	MOG-649		TOYOTA	HILUX 	Mining	0	L/100KM	80.0		1	99	Ineligible
86	87	164816	MOG673	MOG-673		TOYOTA	AVANZA	Mining	0	KM/L	80.0		1	99	Ineligible
87	88	164769	MSC041	MSC041		TOYOTA	HILUX 	Mining	0	KM/L	80.0		1	99	Ineligible
88	89	164735	PV142	PV-142	PIT VIPER DRILL RIG 351E 142	PIT VIPER	DRILL	Mining	0	L/HR	750.0		1	10	Eligible
