LocationKey	SourceLocationId	AFSDepotId	LocationDescription	IsFixed	IsMobile	Capacity	IsActive
1	1	386	North Concentrator	1	0	67120.0	1
2	2	391	ST-263	1	0	-1.0	0
3	3	403	CHP-006	0	1	3255.0	1
4	4	400	CON-141	0	1	10000.0	1
5	5	397	DB-270	0	1	750.0	1
6	6	387	Nitro+	1	0	904000.0	1
7	7	401	ST-264	1	0	-1.0	0
8	8	435	DB HIBS JV	0	1	35000.0	1
9	9	470	ST Epiroc CADS 246	0	1	10000.0	0
10	10	398	DB-MCCA-126	0	1	10000.0	1
11	11	394	DB-MCCA-100	0	1	-1.0	1
12	12	395	CON-074	0	1	3255.0	1
13	13	402	CMND-001	0	1	400.0	1
14	14	390	DB-269	0	1	34000.0	1
15	15	477	Ultra City	1	0	710000.0	1
16	16	404	DB-338	0	1	30000.0	1
17	17	399	ST-265	1	0	-1.0	0
18	18	536	CMND-004	0	1	7000.0	1
19	19	392	Stores LDV	1	0	-1.0	1
20	20	406	BULK137	0	1	9000.0	1
21	21	388	DB-266	0	1	35000.0	0
22	22	389	DB-268	0	1	10000.0	0
23	23	393	DB-CPP141	0	1	10000.0	0
24	24	396	ST-250	1	0		0
25	25	598	DB Kamo Jou	0	1		0
26	26	616	DB CSK001	0	1		0
27	27	622	DB CSK002	0	1		1
28	28	616	DB CSK001	0	1	-1.0	0
