DieselRefundClaimKey	ClaimPeriodDateKey	ClaimYearMonth	SARSUsageTypeKey	RefundRateKey	TotalLitres	NonEligibleLitres	EligibleLitres	EligiblePurchasesLitres	QualifyingClaimLitres	RefundRateCentsPerLitre	RefundAmountRand	RateMissingFlag
1	20090101	2009-01	1		1175.400	1175.400	.000	.000	.000			1
2	20190701	2019-07	1	1	5760938.730	2353420.490	3407518.240	3407518.240	2726014.592	333.60	9093984.68	0
3	20210501	2021-05	1	2	6159275.639	1897963.549	4261312.090	4261312.090	3409049.672	349.00	11897583.36	0
4	20190401	2019-04	1	1	4956.000	4553.000	403.000	403.000	322.400	333.60	1075.53	0
5	20200101	2020-01	1	1	5093828.840	1932980.670	3160848.170	3160848.170	2528678.536	333.60	8435671.60	0
6	20200601	2020-06	1	2	5599439.330	1762927.240	3836512.090	3836512.090	3069209.672	349.00	10711541.76	0
7	20211101	2021-11	1	2	5604739.647	2285869.647	3318870.000	3318870.000	2655096.000	349.00	9266285.04	0
8	20190601	2019-06	1	1	5292099.590	2299149.239	2992950.351	2992950.351	2394360.281	333.60	7987585.90	0
9	20190901	2019-09	1	1	5925108.870	2440260.740	3484848.130	3484848.130	2787878.504	333.60	9300362.69	0
10	20220701	2022-07	1	2	6473722.303	3384941.503	3088780.800	3088780.800	2471024.640	349.00	8623875.99	0
11	20210801	2021-08	1	2	5974983.643	2136366.263	3838617.380	3838617.380	3070893.904	349.00	10717419.72	0
12	20191001	2019-10	1	1	5715218.710	2318181.710	3397037.000	3397037.000	2717629.600	333.60	9066012.35	0
13	20220401	2022-04	1	2	6193891.099	2914930.199	3278960.900	3278960.900	2623168.720	349.00	9154858.83	0
14	20201201	2020-12	1	2	5487117.380	1690588.380	3796529.000	3796529.000	3037223.200	349.00	10599908.97	0
15	20200301	2020-03	1	1	4617355.830	1479193.700	3138162.130	3138162.130	2510529.704	333.60	8375127.09	0
16	20190301	2019-03	1		809.000	809.000	.000	.000	.000			1
17	20191201	2019-12	1	1	5235727.700	1967501.600	3268226.100	3268226.100	2614580.880	333.60	8722241.82	0
18	20200901	2020-09	1	2	6140865.550	1821269.950	4319595.600	4319595.600	3455676.480	349.00	12060310.92	0
19	20220201	2022-02	1	2	5612826.389	2345326.589	3267499.800	3267499.800	2613999.840	349.00	9122859.44	0
20	20200801	2020-08	1	2	6147242.990	1737592.550	4409650.440	4409650.440	3527720.352	349.00	12311744.03	0
21	20220101	2022-01	1	2	5972873.963	2297766.564	3675107.399	3675107.399	2940085.919	349.00	10260899.86	0
22	20190801	2019-08	1	1	5999657.940	2403636.570	3596021.370	3596021.370	2876817.096	333.60	9597061.83	0
23	20211201	2021-12	1	2	5922270.001	2197314.601	3724955.400	3724955.400	2979964.320	349.00	10400075.48	0
24	20210601	2021-06	1	2	5698086.528	1874780.228	3823306.300	3823306.300	3058645.040	349.00	10674671.19	0
25	20140101	2014-01	1		43188.000	43188.000	.000	.000	.000			1
26	20200701	2020-07	1	2	6110375.980	1836782.550	4273593.430	4273593.430	3418874.744	349.00	11931872.86	0
27	20210201	2021-02	1	2	5265599.810	1414562.810	3851037.000	3851037.000	3080829.600	349.00	10752095.30	0
28	20200201	2020-02	1	1	4798824.950	1893098.051	2905726.899	2905726.899	2324581.519	333.60	7754803.95	0
29	20210101	2021-01	1	2	5642588.099	1637978.799	4004609.300	4004609.300	3203687.440	349.00	11180869.17	0
30	20210701	2021-07	1	2	6556705.898	1954946.048	4601759.850	4601759.850	3681407.880	349.00	12848113.50	0
31	20220601	2022-06	1	2	6344587.765	3212236.065	3132351.700	3132351.700	2505881.360	349.00	8745525.95	0
32	20220501	2022-05	1	2	6778019.124	3279960.524	3498058.600	3498058.600	2798446.880	349.00	9766579.61	0
33	20210401	2021-04	1	2	5716651.677	1821156.677	3895495.000	3895495.000	3116396.000	349.00	10876222.04	0
34	20190501	2019-05	1	1	1350836.100	1316278.200	34557.900	34557.900	27646.320	333.60	92228.12	0
35	20220801	2022-08	1	2	13224055.581	10952679.881	2271375.700	2271375.700	1817100.560	349.00	6341680.95	0
36	20201101	2020-11	1	2	4591544.029	1505602.629	3085941.400	3085941.400	2468753.120	349.00	8615948.39	0
37	20210301	2021-03	1	2	6562342.340	1952108.430	4610233.910	4610233.910	3688187.128	349.00	12871773.08	0
38	20201001	2020-10	1	2	6341168.590	1924324.190	4416844.400	4416844.400	3533475.520	349.00	12331829.56	0
39	20200401	2020-04	1	2	2919323.450	697724.600	2221598.850	2221598.850	1777279.080	349.00	6202703.99	0
40	20191101	2019-11	1	1	5138589.420	1830775.680	3307813.740	3307813.740	2646250.992	333.60	8827893.31	0
41	20210901	2021-09	1	2	5982077.046	2471924.046	3510153.000	3510153.000	2808122.400	349.00	9800347.18	0
42	20220301	2022-03	1	2	6272003.077	3143907.377	3128095.700	3128095.700	2502476.560	349.00	8733643.19	0
43	20200501	2020-05	1	2	4963896.069	1438292.229	3525603.840	3525603.840	2820483.072	349.00	9843485.92	0
44	20211001	2021-10	1	2	6455775.736	2405817.736	4049958.000	4049958.000	3239966.400	349.00	11307482.74	0
