FuelDeliveryKey	SourceFuelDeliveryId	DateKey	DeliveryTime	LocationKey	ProductKey	VolumeLitres	AFSTankDeliveryEventId	DocumentNumber	IsDuplicate	IsActive
1	1	20210429	2021-04-29 12:19:37.000	6	2	-0.20000000000000001	1039340		0	1
2	2	20200125	2020-01-25 09:59:00.000	6	2	0.0	1028451		0	1
3	3	20200203	2020-02-03 11:59:00.000	6	2	0.0	1028991		0	1
4	4	20200322	2020-03-22 09:54:44.000	6	2	0.0	1025551		0	1
5	5	20200503	2020-05-03 11:00:36.000	6	2	0.0	1029093		0	1
6	6	20200512	2020-05-12 11:01:13.000	6	2	0.0	1028507		0	1
7	7	20201013	2020-10-13 11:26:20.000	6	2	0.0	1038817		0	1
8	8	20201013	2020-10-13 12:34:45.000	6	2	0.0	1038825		0	1
9	9	20201013	2020-10-13 12:34:59.000	6	2	0.0	1038823		0	1
10	10	20201015	2020-10-15 11:06:20.000	6	2	0.0	1035325		0	1
11	11	20201015	2020-10-15 13:53:12.000	6	2	0.0	1035337		0	1
12	12	20201015	2020-10-15 14:05:15.000	6	2	0.0	1035335		0	1
13	13	20201015	2020-10-15 14:18:25.000	6	2	0.0	1035333		0	1
14	14	20201018	2020-10-18 09:57:08.000	6	2	0.0	1036456		0	1
15	15	20201018	2020-10-18 10:33:04.000	6	2	0.0	1036454		0	1
16	16	20201018	2020-10-18 16:46:56.000	6	2	0.0	1036462		0	1
17	17	20201021	2020-10-21 09:44:47.000	6	2	0.0	1035935		0	1
18	18	20201204	2020-12-04 09:08:09.000	6	2	0.0	1037533		0	1
19	19	20201211	2020-12-11 10:05:41.000	6	2	0.0	1037216		0	1
20	20	20210112	2021-01-12 10:02:26.000	6	2	0.0	1037871		0	1
21	21	20210208	2021-02-08 13:03:31.000	6	2	0.0	1038350		0	1
22	22	20210302	2021-03-02 07:04:06.000	6	2	0.0	1038693		0	1
23	23	20210305	2021-03-05 15:30:28.000	6	2	0.0	1039151		0	1
24	24	20210315	2021-03-15 13:49:31.000	6	2	0.0	1038742		0	1
25	25	20210315	2021-03-15 13:58:04.000	6	2	0.0	1038740		0	1
26	26	20210315	2021-03-15 13:59:04.000	6	2	0.0	1038738		0	1
27	27	20210315	2021-03-15 14:01:34.000	6	2	0.0	1038736		0	1
28	28	20210316	2021-03-16 13:14:14.000	6	2	0.0	1038754		0	1
29	29	20210316	2021-03-16 14:49:44.000	6	2	0.0	1038760		0	1
30	30	20210317	2021-03-17 08:02:54.000	6	2	0.0	1038758		0	1
31	31	20210318	2021-03-18 06:38:37.000	6	2	0.0	1038975		0	1
32	32	20210319	2021-03-19 07:15:31.000	6	2	0.0	1038773		0	1
33	33	20210319	2021-03-19 08:15:26.000	6	2	0.0	1038771		0	1
34	34	20210319	2021-03-19 08:29:49.000	6	2	0.0	1038769		0	1
35	35	20210319	2021-03-19 09:27:15.000	6	2	0.0	1038767		0	1
36	36	20210319	2021-03-19 10:23:02.000	6	2	0.0	1038977		0	1
37	37	20210321	2021-03-21 06:44:31.000	6	2	0.0	1038991		0	1
38	38	20210326	2021-03-26 15:55:57.000	6	2	0.0	1038882		0	1
39	39	20210411	2021-04-11 12:07:21.000	6	2	0.0	1039019		0	1
40	40	20210421	2021-04-21 09:56:39.000	6	2	0.0	1039388		0	1
41	41	20210511	2021-05-11 10:06:38.000	6	2	0.0	1039595		0	1
42	42	20210627	2021-06-27 09:27:13.000	6	2	0.0	1040094		0	1
43	43	20210630	2021-06-30 11:52:37.000	6	2	0.0	1039891		0	1
44	44	20201018	2020-10-18 15:18:07.000	6	2	1.8999999999999999	1036460		0	1
45	45	20210510	2021-05-10 11:28:14.000	6	2	16.399999999999999	1039310		0	1
46	46	20200322	2020-03-22 10:16:14.000	6	2	35.899999999999999	1025549		0	1
47	47	20200322	2020-03-22 11:19:48.000	6	2	54.600000000000001	1025559		0	1
48	48	20201021	2020-10-21 09:47:15.000	6	2	63.299999999999997	1035933		0	1
49	49	20210404	2021-04-04 15:20:01.000	6	2	118.5	1038941		0	1
50	50	20210411	2021-04-11 11:54:58.000	6	2	226.30000000000001	1039021		0	1
51	51	20201214	2020-12-14 12:39:35.000	6	2	484.30000000000001	1037988		0	1
52	52	20210309	2021-03-09 10:55:56.000	6	2	544.39999999999998	1039189		0	1
53	53	20210404	2021-04-04 14:02:01.000	6	2	778.79999999999995	1038945		0	1
54	54	20210207	2021-02-07 10:46:34.000	6	2	990.0	1038342		0	1
55	55	20210603	2021-06-03 13:07:34.000	6	2	1344.3	1039962		0	1
56	56	20210204	2021-02-04 13:30:55.000	6	2	3091.6999999999998	1038638		0	1
57	57	20201101	2020-11-01 10:00:55.000	6	2	3639.1999999999998	1036820		0	1
58	58	20200322	2020-03-22 11:25:10.000	6	2	5186.6000000000004	1025557		0	1
59	59	20210330	2021-03-30 11:19:37.000	6	2	6277.6000000000004	1039851		0	1
60	60	20201112	2020-11-12 11:08:12.000	6	2	6826.8000000000002	1037205		0	1
61	61	20210317	2021-03-17 08:25:32.000	6	2	8358.7000000000007	1038756		0	1
62	62	20200311	2020-03-11 14:03:34.000	6	2	8872.5	1025512		0	1
63	63	20210625	2021-06-25 13:43:03.000	6	2	9090.5	1039939		0	1
64	64	20200310	2020-03-10 09:58:06.000	6	2	9340.1000000000004	1025496		0	1
65	65	20200310	2020-03-10 09:58:06.000	6	2	9340.1000000000004	1025498		0	1
66	66	20210707	2021-07-07 12:48:58.000	6	2	10025.299999999999	1042922		0	1
67	67	20200429	2020-04-29 15:17:40.000	6	2	10491.200000000001	1031089		0	1
68	68	20200429	2020-04-29 15:17:40.000	6	2	10491.200000000001	1031091		0	1
69	69	20210228	2021-02-28 10:56:18.000	6	2	11891.700000000001	1038679		0	1
70	70	20210526	2021-05-26 10:19:49.000	6	2	11946.799999999999	1039322		0	1
71	71	20200211	2020-02-11 13:10:48.000	6	2	12078.799999999999	1031221		0	1
72	72	20201018	2020-10-18 16:16:44.000	6	2	12189.299999999999	1036464		0	1
73	73	20210212	2021-02-12 15:33:37.000	6	2	12842.799999999999	1038557		0	1
74	74	20200219	2020-02-19 14:07:25.000	6	2	13925.299999999999	1031905		0	1
75	75	20210429	2021-04-29 14:08:07.000	6	2	14988.6	1039346		0	1
76	76	20200206	2020-02-06 14:17:07.000	6	2	15021.0	1029027		0	1
77	77	20200130	2020-01-30 14:07:02.000	6	2	15352.4	1028617		0	1
78	78	20201023	2020-10-23 13:55:54.000	6	2	15680.4	1035953		0	1
79	79	20200229	2020-02-29 10:48:01.000	6	2	17545.400000000001	1025439		0	1
80	80	20210217	2021-02-17 12:44:35.000	6	2	18702.5	1038286		0	1
81	81	20200229	2020-02-29 11:11:30.000	6	2	21873.799999999999	1025437		0	1
82	82	20201023	2020-10-23 13:04:00.000	6	2	23817.900000000001	1035955		0	1
83	83	20210429	2021-04-29 12:23:05.000	6	2	24154.700000000001	1039338		0	1
84	84	20200130	2020-01-30 13:05:18.000	6	2	24311.599999999999	1028613		0	1
85	85	20200206	2020-02-06 13:29:28.000	6	2	24538.700000000001	1029029		0	1
86	86	20200219	2020-02-19 13:13:57.000	6	2	25399.599999999999	1031899		0	1
87	87	20210220	2021-02-20 12:41:41.000	6	2	26485.900000000001	1038305		0	1
88	88	20200211	2020-02-11 14:20:58.000	6	2	26904.299999999999	1031225		0	1
89	89	20201119	2020-11-19 10:29:12.000	6	2	27107.5	1037158		0	1
90	90	20200429	2020-04-29 14:30:37.000	6	2	27132.700000000001	1031093		0	1
91	91	20210228	2021-02-28 11:42:28.000	6	2	27221.0	1038677		0	1
92	92	20210617	2021-06-17 12:12:28.000	6	2	27723.700000000001	1039743		0	1
93	93	20210625	2021-06-25 12:29:29.000	6	2	28339.700000000001	1039941		0	1
94	94	20210707	2021-07-07 15:06:43.000	6	2	29088.599999999999	1042948		0	1
95	95	20210511	2021-05-11 08:34:11.000	6	2	29709.799999999999	1039593		0	1
96	96	20200310	2020-03-10 10:35:19.000	6	2	31375.0	1025492		0	1
97	97	20200310	2020-03-10 10:35:19.000	6	2	31375.0	1025494		0	1
98	98	20201106	2020-11-06 10:09:13.000	6	2	31579.0	1035987		0	1
99	99	20210330	2021-03-30 09:25:27.000	6	2	31686.200000000001	1038906		0	1
